日付,時間,役,順位,名前,得票数
04/21,10,普通の子,2,可奈,711
04/21,10,普通の子,3,未来,306
04/21,10,普通の子,4,美奈子,173
04/21,10,普通の子,5,紗代子,159
04/21,10,普通の子,6,ひなた,109
04/21,10,普通の子,7,百合子,88
04/21,10,普通の子,8,恵美,72
04/21,10,普通の子,9,杏奈,66
04/21,10,普通の子,10,星梨花,54
04/21,11,普通の子,1,琴葉,1816
04/21,11,普通の子,2,可奈,716
04/21,11,普通の子,3,未来,308
04/21,11,普通の子,4,美奈子,173
04/21,11,普通の子,5,紗代子,159
04/21,11,普通の子,6,ひなた,109
04/21,11,普通の子,7,百合子,89
04/21,11,普通の子,8,恵美,72
04/21,11,普通の子,9,杏奈,66
04/21,11,普通の子,10,静香,55
04/21,12,普通の子,1,琴葉,1835
04/21,12,普通の子,2,可奈,731
04/21,12,普通の子,3,未来,308
04/21,12,普通の子,4,美奈子,173
04/21,12,普通の子,5,紗代子,161
04/21,12,普通の子,6,ひなた,109
04/21,12,普通の子,7,百合子,89
04/21,12,普通の子,8,恵美,72
04/21,12,普通の子,9,杏奈,67
04/21,12,普通の子,10,静香,55
04/21,13,普通の子,1,琴葉,1867
04/21,13,普通の子,2,可奈,739
04/21,13,普通の子,3,未来,310
04/21,13,普通の子,4,美奈子,174
04/21,13,普通の子,5,紗代子,161
04/21,13,普通の子,6,ひなた,109
04/21,13,普通の子,7,百合子,90
04/21,13,普通の子,8,恵美,72
04/21,13,普通の子,9,杏奈,67
04/21,13,普通の子,10,静香,55
04/21,14,普通の子,1,琴葉,1878
04/21,14,普通の子,2,可奈,746
04/21,14,普通の子,3,未来,310
04/21,14,普通の子,4,美奈子,175
04/21,14,普通の子,5,紗代子,161
04/21,14,普通の子,6,ひなた,109
04/21,14,普通の子,7,百合子,96
04/21,14,普通の子,8,恵美,72
04/21,14,普通の子,9,杏奈,67
04/21,14,普通の子,10,静香,55
04/21,15,普通の子,1,琴葉,1884
04/21,15,普通の子,2,可奈,757
04/21,15,普通の子,3,未来,314
04/21,15,普通の子,4,美奈子,175
04/21,15,普通の子,5,紗代子,161
04/21,15,普通の子,6,ひなた,110
04/21,15,普通の子,7,百合子,96
04/21,15,普通の子,8,恵美,73
04/21,15,普通の子,9,杏奈,67
04/21,15,普通の子,10,静香,55
04/21,16,普通の子,1,琴葉,1899
04/21,16,普通の子,2,可奈,757
04/21,16,普通の子,3,未来,317
04/21,16,普通の子,4,美奈子,175
04/21,16,普通の子,5,紗代子,163
04/21,16,普通の子,6,ひなた,110
04/21,16,普通の子,7,百合子,96
04/21,16,普通の子,8,恵美,73
04/21,16,普通の子,9,杏奈,67
04/21,16,普通の子,10,静香,55
04/21,17,普通の子,1,琴葉,1913
04/21,17,普通の子,2,可奈,769
04/21,17,普通の子,3,未来,318
04/21,17,普通の子,4,美奈子,179
04/21,17,普通の子,5,紗代子,164
04/21,17,普通の子,6,ひなた,110
04/21,17,普通の子,7,百合子,96
04/21,17,普通の子,8,恵美,73
04/21,17,普通の子,9,杏奈,67
04/21,17,普通の子,10,静香,55
04/21,18,普通の子,1,琴葉,1922
04/21,18,普通の子,2,可奈,772
04/21,18,普通の子,3,未来,318
04/21,18,普通の子,4,美奈子,179
04/21,18,普通の子,5,紗代子,172
04/21,18,普通の子,6,ひなた,110
04/21,18,普通の子,7,百合子,96
04/21,18,普通の子,8,恵美,73
04/21,18,普通の子,9,杏奈,67
04/21,18,普通の子,10,静香,55
04/21,19,普通の子,1,琴葉,1942
04/21,19,普通の子,2,可奈,772
04/21,19,普通の子,3,未来,319
04/21,19,普通の子,4,美奈子,179
04/21,19,普通の子,5,紗代子,172
04/21,19,普通の子,6,ひなた,110
04/21,19,普通の子,7,百合子,97
04/21,19,普通の子,8,恵美,73
04/21,19,普通の子,9,杏奈,67
04/21,19,普通の子,10,星梨花,61
04/21,20,普通の子,1,琴葉,1959
04/21,20,普通の子,2,可奈,786
04/21,20,普通の子,3,未来,320
04/21,20,普通の子,4,美奈子,181
04/21,20,普通の子,5,紗代子,175
04/21,20,普通の子,6,ひなた,110
04/21,20,普通の子,7,百合子,97
04/21,20,普通の子,8,恵美,73
04/21,20,普通の子,9,杏奈,67
04/21,20,普通の子,10,星梨花,61
04/21,21,普通の子,1,琴葉,1976
04/21,21,普通の子,2,可奈,795
04/21,21,普通の子,3,未来,330
04/21,21,普通の子,4,美奈子,186
04/21,21,普通の子,5,紗代子,176
04/21,21,普通の子,6,ひなた,111
04/21,21,普通の子,7,百合子,99
04/21,21,普通の子,8,恵美,73
04/21,21,普通の子,9,杏奈,68
04/21,21,普通の子,10,星梨花,62
04/21,22,普通の子,1,琴葉,2014
04/21,22,普通の子,2,可奈,818
04/21,22,普通の子,3,未来,332
04/21,22,普通の子,4,美奈子,190
04/21,22,普通の子,5,紗代子,178
04/21,22,普通の子,6,ひなた,111
04/21,22,普通の子,7,百合子,100
04/21,22,普通の子,8,恵美,75
04/21,22,普通の子,9,杏奈,69
04/21,22,普通の子,10,星梨花,62
04/21,23,普通の子,1,琴葉,2030
04/21,23,普通の子,2,可奈,837
04/21,23,普通の子,3,未来,334
04/21,23,普通の子,4,美奈子,192
04/21,23,普通の子,5,紗代子,180
04/21,23,普通の子,6,ひなた,113
04/21,23,普通の子,7,百合子,100
04/21,23,普通の子,8,恵美,75
04/21,23,普通の子,9,杏奈,70
04/21,23,普通の子,10,星梨花,63
04/22,0,普通の子,1,琴葉,2058
04/22,0,普通の子,2,可奈,860
04/22,0,普通の子,3,未来,340
04/22,0,普通の子,4,美奈子,192
04/22,0,普通の子,5,紗代子,184
04/22,0,普通の子,6,ひなた,113
04/22,0,普通の子,7,百合子,100
04/22,0,普通の子,8,恵美,76
04/22,0,普通の子,9,杏奈,72
04/22,0,普通の子,10,星梨花,63
